artist,song,youtube_url,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25
そらる,Genjitsu,https://www.youtube.com/watch?v=j0I-HMAbOEk,-249.29358,38.571392,17.356989,-27.140984,-15.461171,-17.718134,-15.121781,-5.1464233,-21.68619,5.687979,-14.400613,-8.841149,-6.472462,165.51237,35.60099,30.282978,29.871586,23.124603,18.32545,16.019587,12.368184,16.919777,14.647959,12.208916,10.683877,11.473073
そらる,Lebenoid,https://www.youtube.com/watch?v=GyuaZ1jGVqA,-179.04532,60.878796,1.3103118,-5.2492633,-30.902447,-23.4773,-4.1386533,-12.805033,-34.851112,13.460839,-17.76628,-12.837859,0.18813105,101.68937,35.96848,30.284147,29.638618,24.07575,15.091368,14.650436,12.070714,15.470876,16.088226,10.833437,10.18047,11.74259
そらる,Nagai Sakamichi,https://youtu.be/kAqwBqdTs2I?list=RDkAqwBqdTs2I,-190.88652,74.84961,28.521355,-4.8213162,-15.593559,-28.7476,-6.5477834,-14.872512,-24.934608,12.001649,-16.088644,-10.485757,-1.577922,71.69591,34.44973,24.279112,26.857258,16.169146,16.8449,13.752615,13.844833,12.945291,19.468544,9.887452,8.869041,11.700819
そらる,ゆめをきかせて,https://youtu.be/I2FaP-aSGGw?list=RDI2FaP-aSGGw,-294.2413,51.860294,16.716694,-3.2914262,-13.836097,-26.750055,-13.0396385,-8.28485,-20.74456,5.635623,-13.180509,-14.834146,-6.0584316,118.951,39.477448,26.050552,25.065567,18.067337,19.010323,15.592035,12.446073,15.550998,16.79216,11.019583,10.358277,10.862547
そらる,アイフェイクミー,https://youtu.be/5GI4zBX4JMI?list=RD5GI4zBX4JMI,-192.2434,52.65431,2.4053795,-18.50194,-12.784815,-15.248578,-13.341116,-4.6931643,-19.486898,2.7433813,-10.956906,-8.064021,-6.097895,157.98946,40.983665,27.112663,30.96848,21.321127,17.484692,15.666717,11.979834,16.041256,13.494053,11.240977,11.688922,10.978462
そらる,アトモスフィア,https://www.youtube.com/watch?v=23gk7TZPOZE,-177.5909,33.266293,19.790552,-13.135162,-21.606344,-17.245941,-15.146848,-7.385651,-28.963488,9.801859,-8.2251,-7.616382,-5.688726,130.75232,30.63537,20.82859,27.49698,19.84401,13.875111,13.068085,14.292445,16.039663,14.865631,11.493634,9.667182,8.9053955
そらる,アノニマス御中,https://youtu.be/q4NaQlqAELY?list=RDq4NaQlqAELY,-210.92175,36.879383,16.977606,-10.950734,-23.765537,-13.269239,-8.550887,-9.800953,-19.90848,7.8592005,-14.180938,-9.799816,-2.67068,165.43434,35.8533,34.57901,24.612206,25.516582,15.599799,14.859152,12.269295,16.136574,15.53801,12.800075,10.859277,10.929991
そらる,アンチポップドール,https://youtu.be/wnChRbdFivM?list=RDwnChRbdFivM,-285.89813,45.401337,0.6460429,-1.2720665,-8.809682,-22.847893,-3.3128278,-8.507348,-18.860418,6.2539277,-6.6772914,-8.099676,-2.1143048,161.67297,44.166065,28.522404,26.198988,20.805784,20.934013,12.503775,12.97642,17.537281,15.313534,12.506532,10.866747,10.626556
そらる,オーロラ,https://youtu.be/h_KenoNYyJQ?list=RDh_KenoNYyJQ,-138.18057,43.84914,-6.307482,-2.9493616,-20.644432,-30.852583,-13.440397,-13.579232,-24.49735,16.040287,-12.121179,-11.294051,-5.1719923,60.457733,32.543083,25.426907,25.853024,20.550383,15.47229,14.492021,12.233906,11.563603,16.61167,10.242593,9.833099,11.4372425
そらる,キミノメヲ,https://youtu.be/zmoca4HKvr0?list=RDzmoca4HKvr0,-188.29819,37.910305,6.6622562,-2.0089984,-8.565617,-16.424921,-12.28823,-13.201451,-29.299635,11.026895,-15.2473345,-9.669819,-1.584501,137.3247,36.26865,23.446352,28.141317,22.230818,15.874194,17.200737,14.788794,15.959557,15.579507,11.323759,10.069917,10.127397
そらる,ツギハギの翼,https://youtu.be/48Lgpawmj7o?list=RD48Lgpawmj7o,-192.12086,49.38206,0.31781948,-14.025089,-20.733631,-31.338097,-11.230602,-11.212221,-28.735825,11.2805605,-18.94466,-15.570306,0.62385005,111.04636,31.220404,23.2028,21.604864,18.281128,14.606113,14.58761,12.563211,13.007461,15.625939,12.033736,10.840442,11.175673
そらる,ビー玉の中の宇宙,https://youtu.be/QDqpsb_e7bo?list=RDQDqpsb_e7bo,-199.058,45.677956,24.575226,-8.134937,-11.132152,-26.126143,-11.511078,-17.61268,-26.865381,7.0777807,-16.106016,-12.613076,-4.860526,81.9036,39.814873,23.8478,24.71192,20.273624,16.788982,15.025049,12.084099,14.3169,17.318111,11.2096815,9.181305,11.096557
そらる,マダママゴト,https://youtu.be/Xx_cp02bBws?list=RDXx_cp02bBws,-101.65526,26.530422,15.6421385,6.894773,1.6444955,-1.4857291,-6.697724,-4.1181064,-16.07162,8.347166,-12.900697,-9.168532,-2.7689426,88.83636,34.504917,34.73314,27.92498,20.326815,15.412544,14.449168,13.438845,12.512458,16.887905,10.653069,10.519085,11.7522745
そらる,ユメトキ,https://youtu.be/1K3VLq2ZwUg?list=RD1K3VLq2ZwUg,-325.2924,39.838387,23.809748,-11.110697,-0.4760373,-15.131195,-11.425575,-7.0971494,-18.60929,2.7701812,-5.764845,-9.240082,-2.7411559,172.9962,41.289703,28.457468,21.535934,13.9653015,15.468669,14.302126,11.327156,17.52221,12.214024,9.351532,11.314876,8.915246
そらる,ユラユラ,https://youtu.be/Z6oMnvkSl_w?list=RDZ6oMnvkSl_w,-208.78358,53.86944,10.139066,-4.6422973,-9.845735,-14.136823,-9.103407,-7.5018773,-20.824862,12.171169,-13.832493,-11.452294,-2.4480176,90.66768,44.966423,30.980011,22.889303,21.473274,15.739789,14.6433115,14.55907,13.94967,17.056383,10.813532,9.726708,10.80591
そらる,ユーリカ,https://youtu.be/TTfzuh-MJRQ?list=RDTTfzuh-MJRQ,-174.5866,56.5253,7.482126,-12.560505,-14.729811,-19.83137,-9.965714,-8.114502,-25.181873,7.3048434,-16.48095,-13.92528,-5.085402,106.294846,35.19006,25.963919,25.319363,24.381332,16.53106,15.675103,12.459098,14.535687,15.583342,10.617508,10.233072,11.759892
そらる,ワンダー,https://youtu.be/PjayFvFBGwc?list=RDPjayFvFBGwc,-187.42004,61.763447,32.83223,14.102114,-3.9707198,-20.395966,-10.877302,-6.8418593,-28.367332,10.51538,-18.97556,-10.440213,-5.582799,87.76258,47.653084,26.01449,28.251814,23.26779,17.888319,15.72256,13.2108345,15.307523,17.119707,10.94786,9.257787,9.981366
そらる,午前零時、ガラスの靴は,https://youtu.be/wBVs5au_-CU?list=RDwBVs5au_-CU,-236.85686,86.77232,14.79131,-5.0838547,-7.423639,-17.05647,-0.058609027,-13.81999,-15.521874,5.3415923,-12.262239,-13.242716,-3.5521395,102.314865,44.401268,31.789616,26.609882,18.054424,17.11987,13.266181,15.694987,13.566827,18.289965,12.508046,9.2518835,9.348867
そらる,宇宙葬,https://youtu.be/lhKQh-6xLOM?list=RDlhKQh-6xLOM,-189.25581,45.752773,29.108082,-1.7764204,-7.1594095,-17.771976,-11.662838,-8.425641,-25.078392,-2.8570776,-14.25915,-11.036139,-4.5288534,145.02362,36.877148,28.822704,26.37515,24.357454,18.660398,14.80257,12.477262,16.590242,15.134604,11.558072,8.815449,10.962864
そらる,宛らバイバイ,https://youtu.be/eQKbTfOJYLg?list=RDeQKbTfOJYLg,-254.43771,63.082558,20.040504,-16.93978,-11.61239,-14.638359,-14.523746,-9.957006,-19.00915,6.9393373,-13.355982,-13.69445,-6.733357,142.85744,44.168972,25.343771,23.356764,15.470893,14.828546,13.07693,12.132245,13.438221,13.64787,10.714706,9.350835,9.558108
そらる,待ちぼうけの彼方,https://youtu.be/Dxb8EmeUbyA?list=RDDxb8EmeUbyA,-265.54456,28.851547,1.6833525,-16.915306,-21.171068,-8.925883,-11.739535,-6.638389,-13.7026825,16.194786,-9.714692,-8.211888,-4.043281,177.11423,37.752262,26.236755,24.652847,22.427906,12.536649,12.171632,9.371022,14.220801,16.70089,12.311374,10.661653,9.298968
そらる,悋気な惑星,https://youtu.be/l9aWCJubmWs?list=RDl9aWCJubmWs,-271.8037,38.254986,36.3163,-0.9291096,-5.311087,-14.04391,-11.690742,-7.8292084,-16.635752,3.2641013,-10.92188,-9.021714,-8.641289,162.55779,42.3324,31.360529,20.520588,16.917368,16.770374,15.268633,10.768283,13.6538315,13.8085375,9.864253,8.804198,8.983164
そらる,捨て子のステラ,https://youtu.be/C_uoWswJDH8?list=RDC_uoWswJDH8,-149.39601,56.20219,23.474365,-12.339114,-19.176884,-20.330769,-13.707924,-14.79404,-26.254501,11.116593,-11.783915,-11.87177,-2.1233761,83.00516,36.462574,32.96116,23.658834,21.627308,17.123262,18.783674,12.357247,13.461553,15.320088,10.696782,9.723206,11.23468
そらる,海中の月を掬う,https://youtu.be/ULwnLJCNMEw?list=RDULwnLJCNMEw,-327.73615,36.068253,18.265226,14.096141,-3.181377,-18.024023,-1.0089681,-6.0714755,-16.032604,7.4957347,-8.720741,-7.299635,-5.716792,147.05795,44.508156,25.209229,24.88177,16.122248,20.88861,12.780249,13.329751,14.99792,14.120149,10.149191,9.331594,9.549068
そらる,空腹の怪物,https://youtu.be/F-a30MdeYjU?list=RDF-a30MdeYjU,-172.23376,50.16589,11.091665,-15.627613,-27.327873,-20.567932,-6.1896787,-8.83466,-30.528727,12.387868,-10.412717,-15.397516,0.36667827,93.50148,32.953873,26.172413,22.79254,21.778242,16.155014,15.729244,13.888226,13.702707,15.859446,10.961123,11.054162,10.234885
そらる,逃避郷,https://youtu.be/R_7Zv8QNwGA?list=RDR_7Zv8QNwGA,-214.37976,48.84173,-2.388368,-6.357441,-14.196303,-17.752493,-3.4990025,-13.060483,-23.380215,5.3165593,-12.153298,-6.9419665,1.0183294,151.64818,35.6637,24.426466,23.62964,20.49525,17.689945,14.777913,12.988276,15.62961,15.294684,11.639526,10.777681,9.140702
そらる,銀の祈誓,https://youtu.be/xpAVEc14hbY?list=RDxpAVEc14hbY,-191.03096,57.983696,18.63807,-7.290766,-13.690632,-17.82314,-9.522205,-10.990108,-24.54124,7.0348616,-12.308376,-9.691652,-4.622466,113.78602,40.667942,28.200764,21.664299,21.504946,14.627284,13.948077,12.570529,13.339048,16.812353,10.070589,9.706472,10.718205
そらる,青い蕾,https://youtu.be/NQ4XBRldw2s?list=RDNQ4XBRldw2s,-239.80179,45.101425,-2.0513203,-11.001556,-4.418611,-24.356413,-7.5211253,-6.409147,-16.708345,11.340133,-13.270024,-13.303739,-6.559966,154.53314,36.136066,22.080332,23.12452,19.226707,20.57854,13.288479,12.674728,14.468907,16.629316,12.06833,11.084781,9.994412
